Date,New cases,All cases,Deaths,All deaths,Convalescents,All convalescents,All quarantined
2021-09-28,1234,2872278,22,75066,413,2740004,83537
2021-09-29,1208,2873486,27,75093,748,2740752,84962
2021-09-30,1362,2874848,16,75109,948,2741700,87719
2021-01-10,1344,2876192,23,75132,994,2742694,89515
2021-02-10,1090,2877282,6,75138,796,2743490,84280
2021-03-10,684,2877966,0,75138,848,2744338,81016
2021-04-10,1325,2879291,46,75184,719,2745057,89204
2021-05-10,2085,2881376,33,75217,491,2745548,89217
2021-06-10,2007,2883383,29,75246,1038,2746586,95647
2021-07-10,1895,2885278,31,75277,1264,2747850,102759
2021-08-10,2012,2887290,29,75306,1273,2749123,105696
2021-09-10,1527,2888817,5,75311,1259,2750382,100756
2021-10-10,903,2889720,0,75311,1338,2751720,96742
2021-11-10,2118,2891838,49,75360,1134,2752854,104753
2021-12-10,2640,2894478,40,75400,763,2753617,102245
2021-10-13,3000,2897478,60,75460,1427,2755044,111191
2021-10-14,2771,2900249,49,75509,2039,2757083,120973
2021-10-15,3236,2903485,44,75553,2017,2759100,123871
2021-10-16,2523,2906008,1,75554,1946,2761046,116255
2021-10-17,1537,2907545,3,75557,1924,2762970,113597
2021-10-18,3931,2911476,64,75621,1615,2764585,128780
2021-10-19,5559,2917035,75,75696,1013,2765598,134740
2021-10-20,5592,2922627,46,75742,2158,2767756,157147
2021-10-21,5706,2928333,59,75801,2727,2770483,181800
2021-10-22,6274,2934607,75,75876,1767,2772250,194705
